Cuadro 15

"Región, provincia, municipio, distrito 
municipal y zona "	Total 	"Del acueducto
 dentro de 
la vivienda "	"Del acueducto 
en el patio 
de la vivienda "	"De una 
llave pública "	"De una
 llave de otra
 vivienda"	"Manantial,
 río, arroyo "	Pozo tubular	Pozo cavado	Lluvia 	"Camión 
tanque "	Botellones 	"Camioncito 
procesada "	Otro
Municipio Eugenio María de Hostos	2,139	910	362	165	53	15	14	549	35	19	15	2
Municipio Nagua 	29,198	20,565	2,252	1,708	215	723	129	575	2,300	240	464	27
Municipio Cabrera	10,890	6,667	466	876	89	1,175	463	756	63	202	109	24
Municipio El Factor 	10,928	4,109	1,456	802	303	442	250	1,949	888	314	347	68
Municipio Río San Juan	6,405	3,686	1,066	566	147	187	231	377	12	54	65	14
Municipio Salcedo	14,698	9,662	951	659	53	633	401	510	308	931	558	32
Municipio Tenares	10,449	5,985	287	1,150	54	692	298	1,338	283	236	103	23
Municipio Villa Tapia	8,983	5,428	324	1,149	61	1,064	11	508	352	60	12	14
Municipio Samaná	22,840	14,545	3,049	1,795	283	1,194	552	323	229	691	157	22
Municipio Sánchez	9,374	5,680	759	346	173	577	370	664	107	145	514	39
Municipio Las Terrenas	9,722	6,493	548	413	79	632	147	286	128	94	891	11
Municipio Dajabón	12,092	8,520	2,087	617	46	48	15	479	99	4	159	18
Municipio Loma de Cabrera	5,658	4,169	847	328	94	80	101	17	2	1	14	5
Municipio Partido 	2,859	1,768	182	507	31	8	109	203	7	1	28	15
Municipio Restauración 	2,646	1,163	526	287	59	53	503	8	21	12	5	9
Municipio El Pino	2,247	1,347	620	80	20	5	147	24	0	2	1	1
Municipio Monte Cristi	10,115	6,606	2,007	627	54	416	148	1	4	2	244	6
Municipio Castañuelas	7,234	3,784	3,169	139	57	76	1	3	1	0	2	2
Municipio Guayubín	14,598	10,100	3,642	529	127	77	35	47	4	8	15	14
Municipio Las Matas de Santa Cruz	4,123	2,049	1,349	494	24	13	10	11	19	3	149	2
Municipio Pepillo Salcedo 	3,944	2,068	1,137	467	39	81	0	54	72	0	14	12
Municipio Villa Vásquez	6,142	4,186	1,393	112	26	5	8	4	0	22	381	5
Municipio San Ignacio de Sabaneta	13,948	9,397	509	1,072	103	446	603	1,397	109	7	284	21
Municipio Villa Los Almácigos 	4,062	2,791	607	438	40	87	54	0	0	0	43	2
Municipio Monción	4,884	2,800	455	618	49	403	42	28	4	11	458	16
Municipio Mao	31,178	23,134	5,448	1,258	261	428	203	4	12	54	316	60
Municipio Esperanza	24,105	16,958	4,452	1,476	80	290	462	196	89	5	65	32
Municipio Laguna Salada 	10,318	6,077	3,517	307	33	96	83	136	27	5	33	4
Municipio Baní	53,021	31,840	7,399	3,993	526	3,165	625	928	737	84	3,616	108
Municipio Nizao	10,335	6,119	2,647	845	141	372	13	149	12	1	30	6
Municipio Matanzas	6,741	2,999	2,327	557	77	49	4	74	154	0	489	11
Municipio San Cristóbal 	88,583	56,448	12,201	5,256	1,167	6,508	615	444	594	608	4,656	86
Municipio Sabana Grande de Palenque 	5,680	3,232	1,559	193	104	80	20	212	190	1	85	4
Municipio Bajos de Haina	53,277	26,378	5,889	1,984	761	5,522	1	2,185	2,607	55	7,805	90
Municipio Cambita Garavitos	10,423	5,231	956	373	223	765	1,198	773	468	295	134	7
Municipio Villa Altagracia	32,108	14,980	5,237	1,482	694	1,216	600	1,549	1,059	307	4,874	110
Municipio Yaguate	16,375	7,180	3,002	1,521	300	1,714	295	381	225	83	1,591	83
Municipio San Gregorio de Nigua	12,565	5,116	3,223	952	275	979	8	294	203	44	1,453	18
Municipio Los Cacaos	3,992	1,822	422	146	20	15	1,315	215	30	7	0	0
Municipio San José de Ocoa	16,200	9,154	3,667	1,865	248	270	658	70	38	5	203	22
Municipio Sabana Larga	4,379	2,446	712	378	130	156	414	65	29	5	30	14
Municipio Rancho Arriba	5,451	2,620	1,203	1,176	52	27	271	17	40	15	22	8
Municipio de Neiba	12,152	4,392	3,656	1,422	641	732	565	88	28	65	542	21
Municipio Galván	5,359	1,964	1,785	369	311	84	411	100	216	1	103	15
Municipio Tamayo	9,962	3,649	4,014	825	606	532	209	81	21	0	5	20
Municipio Villa Jaragua	3,693	1,013	1,596	137	109	12	286	150	33	50	295	12
Municipio Los ríos	2,709	856	1,320	35	61	11	370	1	16	32	3	4
Municipio Barahona	27,560	12,667	7,257	799	321	500	151	341	269	84	5,058	113
Municipio Cabral	4,871	2,388	2,223	65	59	8	55	2	25	4	14	28
Municipio Enriquillo	4,468	1,749	1,060	495	103	129	273	13	55	298	177	116
Municipio Paraíso 	5,114	2,734	754	561	64	4	351	4	4	632	0	6
Municipio Vicente Noble 	8,230	4,192	3,066	381	165	371	7	3	8	1	6	30
Municipio El Peñón	1,370	800	39	398	5	127	0	0	0	0	1	0
Municipio La Ciénaga	2,741	1,232	1,115	173	18	1	77	4	10	98	4	9
Municipio Fundación	2,924	698	2,035	7	123	0	0	2	0	0	57	2
Municipio Las Salinas	1,552	742	472	69	105	159	1	0	0	0	1	3
Municipio Polo	2,468	1,336	389	239	137	53	21	12	7	257	4	13
Municipio Jaquimeyes	1,313	784	513	13	1	0	1	0	0	0	0	1
Municipio Jimaní	5,852	2,346	1,735	829	305	221	52	100	75	6	128	55
Municipio Duvergé	4,445	2,656	582	868	90	132	93	4	4	2	0	14
Municipio La Descubierta 	2,376	1,034	662	227	67	4	156	0	5	3	207	11
Municipio Postrer Río	2,173	1,093	480	67	25	15	454	30	2	1	0	6
Municipio Cristóbal	2,412	829	1,180	114	276	9	0	0	1	0	0	3
Municipio Mella	1,485	254	1,069	33	59	60	7	0	0	0	1	2
Municipio Pedernales	7,342	3,163	2,042	741	117	408	254	68	89	415	32	13
Municipio Oviedo	3,148	745	402	109	17	22	7	58	565	67	1,142	14
Municipio Azua	32,360	12,171	10,196	2,022	545	1,164	63	510	341	8	5,261	79
Municipio Las Charcas	4,913	2,417	1,889	302	41	85	37	12	36	0	71	23
Municipio Las Yayas de Viajama	6,705	2,428	3,086	384	169	272	262	11	11	6	52	24
Municipio Padre Las Casas	7,022	3,761	1,502	469	186	44	955	37	15	0	50	3
Municipio Peralta	4,386	2,244	1,409	321	227	31	142	0	2	6	0	4
Municipio Sabana Yegua	6,616	2,119	3,582	241	134	15	134	5	5	0	351	30
Municipio Pueblo Viejo 	3,844	1,560	1,188	663	66	156	2	126	75	0	6	2
Municipio Tábara Arriba	6,710	2,732	3,308	297	95	115	155	0	4	0	2	2
Municipio Guayabal	1,949	1,092	551	15	22	92	120	11	45	0	0	1
Municipio Estebanía	2,790	1,303	952	211	21	91	100	10	79	0	16	7
Municipio Comendador	8,275	2,991	2,076	655	497	403	1,129	43	34	10	419	18
Municipio Bánica	2,316	563	743	231	58	2	607	3	14	10	63	22
Municipio El Llano	2,629	446	1,133	464	285	190	42	3	8	0	54	4
Municipio Hondo Valle	2,926	1,300	727	564	85	5	227	2	1	0	0	15
Municipio Pedro Santana	1,960	797	519	310	29	1	262	2	5	3	0	32
Municipio Juan Santiago	1,102	313	494	151	35	3	105	0	0	1	0	0
Municipio San Juan	48,501	27,553	15,064	1,940	705	664	999	568	685	21	119	183
Municipio Bohechío	3,476	1,257	1,897	133	83	3	95	0	4	0	0	4
Municipio El Cercado	5,783	1,804	2,811	826	255	14	65	2	3	0	0	3
Municipio Juan de Herrera	4,381	1,230	2,655	121	96	19	161	46	22	1	16	14
Municipio Las Matas de Farfán	16,421	7,171	4,866	933	261	106	594	357	143	18	1,943	29
Municipio Vallejuelo	4,254	1,099	1,521	676	311	266	150	96	25	4	93	13
Municipio El Seibo	25,696	10,214	3,214	3,993	582	985	2,627	1,698	919	638	750	76
Municipio Miches	9,572	4,558	1,843	445	160	657	557	654	127	125	220	226
Municipio Higüey	160,056	83,378	7,248	6,556	2,743	6,582	1,150	20,157	6,414	1,384	23,305	1,139
Municipio San Rafael del Yuma	12,363	5,518	1,684	2,215	115	602	95	1,189	679	94	159	13
Municipio La Romana	53,573	40,544	7,332	1,444	282	1,778	80	110	140	183	1,632	48
Municipio Guaymate	5,432	1,667	1,543	1,153	296	441	163	53	63	3	41	9
Municipio Villa Hermosa	37,378	14,358	5,551	1,005	343	1,334	0	1,641	1,523	59	11,473	91
Municipio San Pedro de Macorís	75,448	33,554	12,231	3,516	2,175	1,707	5	8,124	7,142	64	6,516	414
Municipio Los Llanos 	9,124	3,191	2,381	1,691	207	982	63	343	131	80	38	17
Municipio Ramón Santana	3,997	959	1,032	535	222	159	6	238	661	19	154	12
Municipio Consuelo	13,797	7,167	3,777	1,055	385	357	5	248	340	8	425	30
Municipio Quisqueya	7,640	2,201	1,386	547	466	308	2	814	1,836	4	40	36
Municipio Guayacanes	6,893	2,364	1,376	181	195	514	0	87	2,125	2	22	27
Municipio Monte Plata	19,349	6,030	2,274	2,526	483	1,501	435	2,895	1,697	549	836	123
Municipio Bayaguana	13,005	5,701	1,514	1,763	337	1,549	703	616	478	191	69	84
Municipio Sabana Grande de Boyá	12,146	3,546	2,211	1,198	263	493	477	202	329	1,093	2,291	43
Municipio Yamasá	21,557	4,446	1,287	1,712	570	584	1,159	6,322	2,334	771	2,298	74
Municipio Peralvillo	6,402	1,401	174	700	124	195	825	1,689	351	454	473	16
Municipio Hato Mayor 	25,241	9,758	2,053	2,706	368	1,196	1,025	2,546	2,154	460	2,907	68
Municipio Sabana de la mar	7,119	1,679	406	950	230	158	167	3,079	209	203	21	17
Municipio El valle	3,856	1,746	513	503	124	105	108	460	60	117	8	112


Cuadro 6

Región, provincia, municipio y distrito municipal 	Total 	Total 	Urbana 	Rural 
Región, provincia, municipio y distrito municipal 	Total 	"Sí dentro de
 la vivienda"	Total 	Total 
Municipio Santo Domingo de Guzmán	363,153	345,834	363,153	0
Municipio Santo Domingo Este	349,199	336,115	297,400	51,799
Municipio Santo Domingo Oeste	142,564	135,997	114,324	28,240
Municipio Santo Domingo Norte	223,492	211,443	192,964	30,528
Municipio Boca Chica	56,168	52,722	35,211	20,957
Municipio San Antonio de Guerra	20,659	17,845	6,206	14,453
Municipio Los Alcarrizos	111,414	105,314	94,313	17,101
Municipio Pedro Brand	30,982	28,588	25,626	5,356
Municipio Moca	54,364	49,546	25,748	28,616
Municipio Cayetano Germosén	2,840	2,300	1,039	1,801
Municipio Gaspar Hernández 	14,973	12,866	7,382	7,591
Municipio Jamao al Norte	2,877	2,331	1,112	1,765
Municipio San Víctor	6,548	5,805	2,109	4,439
Municipio Puerto Plata	58,937	55,087	49,263	9,674
Municipio Altamira	7,127	4,888	1,785	5,342
Municipio Guananico	2,434	1,852	969	1,465
Municipio Imbert	8,773	7,026	2,746	6,027
Municipio Los Hidalgos	4,796	3,775	1,135	3,661
Municipio Luperón	6,467	4,478	2,228	4,239
Municipio Sosúa	20,874	19,435	6,553	14,321
Municipio Villa Isabela 	6,970	5,630	2,927	4,043
Municipio Villa Montellano 	7,675	6,908	4,360	3,315
Municipio de Santiago	270,496	258,101	227,864	42,632
Municipio Bisonó	17,111	15,498	13,110	4,001
Municipio Jánico	5,172	3,828	1,285	3,887
Municipio Licey al Medio	9,724	8,822	6,609	3,115
Municipio San José de las Matas	12,893	10,425	3,656	9,237
Municipio Tamboril	19,754	18,401	10,977	8,777
Municipio Villa González	14,354	12,397	6,061	8,293
Municipio Puñal	15,524	14,812	3,631	11,893
Municipio Sabana Iglesia	5,165	4,507	1,931	3,234
Municipio Baitoa	3,905	3,253	680	3,225
Municipio La Vega	95,448	86,173	44,970	50,478
Municipio Constanza	23,773	21,084	12,617	11,156
Municipio Jarabacoa	23,262	21,007	11,774	11,488
Municipio Jima Abajo	9,953	8,958	4,547	5,406
Municipio Cotuí	29,652	25,928	18,680	10,972
Municipio Cevicos	5,817	4,587	3,061	2,756
Municipio Fantino	8,297	7,558	3,555	4,742
Municipio Villa La Mata	13,301	11,576	6,017	7,284
Municipio Bonao	50,233	46,789	28,933	21,300
Municipio Maimón	8,090	7,438	6,340	1,750
Municipio Piedra Blanca	9,274	8,373	5,734	3,540
Municipio San Francisco de Macorís	72,800	63,942	54,421	18,379
Municipio Arenoso 	5,110	4,213	1,875	3,235
Municipio Castillo	5,921	4,547	2,351	3,570
Municipio Pimentel 	6,265	5,364	3,427	2,838
Municipio Villa Riva	12,538	10,351	5,977	6,561
Municipio Las Guáranas	5,040	4,236	3,764	1,276
Municipio Eugenio María de Hostos	2,100	1,492	1,015	1,085
Municipio Nagua 	28,958	25,109	17,762	11,196
Municipio Cabrera	10,755	9,098	3,443	7,312
Municipio El Factor 	10,873	9,127	5,437	5,436
Municipio Río San Juan	6,334	5,216	4,229	2,105
Municipio Salcedo	14,630	11,891	5,119	9,511
Municipio Tenares	10,353	8,074	3,278	7,075
Municipio Villa Tapia	8,904	6,746	2,130	6,774
Municipio Samaná	22,566	18,780	9,235	13,331
Municipio Sánchez	9,309	8,162	4,120	5,189
Municipio Las Terrenas	9,675	8,750	5,113	4,562
Municipio Dajabón	11,947	10,265	8,505	3,442
Municipio Loma de Cabrera	5,603	4,327	2,968	2,635
Municipio Partido 	2,793	1,876	939	1,854
Municipio Restauración 	2,609	1,491	870	1,739
Municipio El Pino	2,213	1,757	768	1,445
Municipio Monte Cristi	10,024	8,171	6,641	3,383
Municipio Castañuelas	6,804	4,715	2,736	4,068
Municipio Guayubín	14,272	10,928	4,165	10,107
Municipio Las Matas de Santa Cruz	4,012	3,115	3,571	441
Municipio Pepillo Salcedo 	3,868	2,786	2,043	1,825
Municipio Villa Vásquez	5,999	4,721	4,562	1,437
Municipio San Ignacio de Sabaneta	13,903	10,895	6,724	7,179
Municipio Villa Los Almácigos 	4,032	2,889	1,553	2,479
Municipio Monción	4,819	4,169	3,164	1,655
Municipio Mao	30,778	26,100	24,108	6,670
Municipio Esperanza	23,842	20,312	17,622	6,220
Municipio Laguna Salada 	10,276	8,097	7,789	2,487
Municipio Baní	52,453	45,232	37,024	15,429
Municipio Nizao	10,213	8,925	5,936	4,277
Municipio Matanzas	6,567	5,806	2,446	4,121
Municipio San Cristóbal 	88,000	80,647	56,921	31,079
Municipio Sabana Grande de Palenque 	5,646	5,282	1,912	3,734
Municipio Bajos de Haina	52,938	49,768	27,859	25,079
Municipio Cambita Garavitos	10,361	8,110	5,440	4,921
Municipio Villa Altagracia	31,900	28,213	17,044	14,856
Municipio Yaguate	16,179	13,398	3,354	12,825
Municipio San Gregorio de Nigua	12,410	10,832	5,786	6,624
Municipio Los Cacaos	3,963	1,985	781	3,182
Municipio San José de Ocoa	16,002	12,102	11,392	4,610
Municipio Sabana Larga	4,359	3,335	2,768	1,591
Municipio Rancho Arriba	5,416	3,455	1,422	3,994
Municipio de Neiba	11,933	8,438	7,703	4,230
Municipio Galván	5,080	3,363	2,337	2,743
Municipio Tamayo	9,689	6,977	6,874	2,815
Municipio Villa Jaragua	3,640	2,556	3,219	421
Municipio Los Ríos	2,645	1,786	2,156	489
Municipio Barahona	27,223	24,329	26,978	245
Municipio Cabral	4,666	3,883	3,908	758
Municipio Enriquillo	4,433	3,207	2,546	1,887
Municipio Paraíso 	5,010	3,367	3,089	1,921
Municipio Vicente Noble 	8,108	6,290	6,897	1,211
Municipio El Peñón	1,340	946	1,262	78
Municipio La Ciénaga	2,694	1,998	1,858	836
Municipio Fundación	2,826	2,129	1,554	1,272
Municipio Las Salinas	1,503	1,064	1,192	311
Municipio Polo	2,369	1,402	847	1,522
Municipio Jaquimeyes	1,309	1,176	1,183	126
Municipio Jimaní	5,733	4,010	4,971	762
Municipio Duvergé	4,367	3,038	3,488	879
Municipio La Descubierta 	2,345	1,735	1,794	551
Municipio Postrer Río	2,122	1,308	1,512	610
Municipio Cristóbal	2,327	1,492	1,378	949
Municipio Mella	1,466	1,045	1,125	341
Municipio Pedernales	7,175	5,093	6,113	1,062
Municipio Oviedo	3,123	2,335	1,734	1,389
Municipio Azua	31,918	25,675	27,180	4,738
Municipio Las Charcas	4,757	3,310	3,039	1,718
Municipio Las Yayas de Viajama	6,472	4,472	3,580	2,892
Municipio Padre Las Casas	6,958	4,584	4,099	2,859
Municipio Peralta	4,026	2,431	2,453	1,573
Municipio Sabana Yegua	6,435	4,764	6,104	331
Municipio Pueblo Viejo 	3,681	2,749	2,052	1,629
Municipio Tábara Arriba	6,336	4,489	4,448	1,888
Municipio Guayabal	1,879	1,307	1,265	614
Municipio Estebanía	2,647	1,597	2,110	537
Municipio Comendador	8,108	4,631	4,889	3,219
Municipio Bánica	2,301	974	903	1,398
Municipio El Llano	2,553	1,029	1,192	1,361
Municipio Hondo Valle	2,881	1,584	1,553	1,328
Municipio Pedro Santana	1,952	611	842	1,110
Municipio Juan Santiago	1,097	530	478	619
Municipio San Juan	47,821	35,430	31,054	16,767
Municipio Bohechío	3,388	2,007	2,007	1,381
Municipio El Cercado	5,719	3,134	1,665	4,054
Municipio Juan de Herrera	4,274	3,140	1,843	2,431
Municipio Las Matas de Farfán	16,187	10,691	9,536	6,651
Municipio Vallejuelo	4,185	2,511	2,506	1,679
Municipio El Seibo	25,387	17,076	11,257	14,130
Municipio Miches	9,397	7,624	5,815	3,582
Municipio Higüey	158,512	134,660	122,432	36,080
Municipio San Rafael del Yuma	12,220	9,525	5,729	6,491
Municipio La Romana	53,263	48,933	52,021	1,242
Municipio Guaymate	5,215	4,238	2,369	2,846
Municipio Villa Hermosa	37,018	32,297	36,592	426
Municipio San Pedro de Macorís	74,854	68,946	71,653	3,201
Municipio Los Llanos 	9,023	7,420	4,039	4,984
Municipio Ramón Santana	3,900	2,891	830	3,070
Municipio Consuelo	13,731	11,973	10,403	3,328
Municipio Quisqueya	7,563	6,895	6,669	894
Municipio Guayacanes	6,836	6,062	2,369	4,467
Municipio Monte Plata	19,174	15,555	7,510	11,664
Municipio Bayaguana	12,864	10,344	8,701	4,163
Municipio Sabana Grande de Boyá	12,041	9,594	8,485	3,556
Municipio Yamasá	21,483	17,484	8,696	12,787
Municipio Peralvillo	6,367	4,919	2,485	3,882
Municipio Hato Mayor 	24,907	20,619	17,650	7,257
Municipio Sabana de la mar	6,997	6,130	5,969	1,028
Municipio El valle	3,791	2,959	3,034	757


Cuadro 16

Región, provincia, municipio, distrito municipal y zona 	Total 	Gas propano	Carbón	Leña	Electricidad	Otro 	No cocina 	Sin información 
Municipio Santo Domingo de Guzmán	365,548	347,293	4,641	29	1,003	313	12,269	0
Municipio Santo Domingo Este	351,360	337,501	3,642	1,130	661	301	8,116	9
Municipio Santo Domingo Oeste	143,144	137,277	1,099	788	171	120	3,689	0
Municipio Santo Domingo Norte	224,697	211,949	2,877	1,991	375	186	7,319	0
Municipio Boca Chica	56,593	52,160	1,079	731	82	107	2,434	0
Municipio San Antonio de Guerra	20,885	18,171	149	1,304	38	71	1,152	0
Municipio Los alcarrizos	111,928	105,133	1,483	551	135	148	4,478	0
Municipio Pedro Brand	31,206	28,427	608	469	15	32	1,655	0
Municipio Moca	54,913	51,405	358	1,010	32	24	2,083	1
Municipio Cayetano Germosén	2,996	2,644	18	86	7	1	240	0
Municipio Gaspar Hernández 	15,090	13,660	169	631	24	22	584	0
Municipio Jamao al Norte	2,883	2,561	26	122	0	3	171	0
Municipio San Víctor	6,588	6,172	41	175	0	15	185	0
Municipio Puerto Plata	59,241	55,370	810	1,005	44	51	1,961	0
Municipio Altamira	7,149	5,910	54	650	2	13	520	0
Municipio Guananico	2,447	2,147	22	133	0	1	144	0
Municipio Imbert	8,905	7,552	64	500	13	28	747	1
Municipio Los Hidalgos	4,814	4,180	22	269	0	5	338	0
Municipio Luperón	6,575	5,508	115	486	6	3	457	0
Municipio Sosúa	21,065	19,728	135	449	34	26	693	0
Municipio Villa Isabela 	7,153	6,037	133	408	12	12	551	0
Municipio Villa Montellano 	7,698	6,775	147	261	7	6	502	0
Municipio de Santiago	272,180	258,995	2,664	1,596	318	170	8,435	2
Municipio Bisonó	17,181	15,664	440	258	24	25	770	0
Municipio Jánico	5,252	4,455	42	391	74	9	281	0
Municipio Licey al Medio	9,956	9,366	132	95	6	34	323	0
Municipio San José de las Matas	13,028	11,636	47	743	40	22	540	0
Municipio Tamboril	19,888	18,690	162	279	18	18	721	0
Municipio Villa González	14,456	12,963	152	453	9	37	842	0
Municipio Puñal	15,621	15,083	35	172	17	10	304	0
Municipio Sabana Iglesia	5,222	4,779	49	127	5	3	259	0
Municipio Baitoa	3,919	3,504	5	127	8	1	274	0
Municipio La Vega	96,210	90,039	601	1,768	97	108	3,597	0
Municipio Constanza	23,946	21,414	235	672	37	23	1,565	0
Municipio Jarabacoa	23,382	21,760	128	626	42	21	805	0
Municipio Jima Abajo	10,043	9,174	84	182	2	8	593	0
Municipio Cotuí	29,915	27,104	283	1,119	46	29	1,334	0
Municipio Cevicos	5,837	4,950	138	306	5	9	429	0
Municipio Fantino	8,349	7,757	24	228	4	18	318	0
Municipio Villa La Mata	13,398	12,032	149	445	8	19	745	0
Municipio Bonao	50,536	47,063	353	902	55	51	2,111	1
Municipio Maimón	8,274	7,623	128	84	82	7	350	0
Municipio Piedra Blanca	9,340	8,465	96	294	9	13	463	0
Municipio San Francisco de Macorís	73,225	68,147	688	1,281	54	86	2,969	0
Municipio Arenoso 	5,225	4,477	80	121	0	3	544	0
Municipio Castillo	5,995	5,391	56	289	7	8	244	0
Municipio Pimentel 	6,303	5,760	52	183	0	2	306	0
Municipio Villa riva	12,685	11,312	161	433	16	30	733	0
Municipio Las Guáranas	5,101	4,609	68	72	4	7	341	0
Municipio Eugenio María de Hostos	2,139	1,808	47	128	0	0	156	0
Municipio Nagua 	29,198	26,119	265	890	18	60	1,846	0
Municipio Cabrera	10,890	9,886	55	412	9	11	517	0
Municipio El Factor 	10,928	9,712	167	228	4	13	804	0
Municipio Río San Juan	6,405	5,625	62	214	3	6	495	0
Municipio Salcedo	14,698	13,468	70	467	19	11	663	0
Municipio Tenares	10,449	9,655	34	369	13	12	366	0
Municipio Villa Tapia	8,983	8,263	47	303	9	13	348	0
Municipio Samaná	22,840	19,906	217	929	27	29	1,732	0
Municipio Sánchez	9,374	8,428	78	159	10	16	683	0
Municipio Las Terrenas	9,722	8,876	106	138	14	4	584	0
Municipio Dajabón	12,092	10,799	273	384	11	18	607	0
Municipio Loma de Cabrera	5,658	4,837	124	429	3	1	264	0
Municipio Partido 	2,859	2,386	32	302	3	1	135	0
Municipio Restauración 	2,646	1,788	57	609	0	46	146	0
Municipio El Pino	2,247	1,961	23	157	0	3	103	0
Municipio Monte Cristi	10,115	8,243	470	505	9	16	872	0
Municipio Castañuelas	7,234	5,034	836	535	4	16	809	0
Municipio Guayubín	14,598	11,577	631	1,178	11	18	1,183	0
Municipio Las Matas de Santa Cruz	4,123	3,359	409	122	1	12	220	0
Municipio Pepillo Salcedo 	3,944	3,032	265	284	2	5	356	0
Municipio Villa Vásquez	6,142	5,012	447	212	7	11	453	0
Municipio San Ignacio de Sabaneta	13,948	12,598	99	720	5	11	515	0
Municipio Villa Los Almácigos 	4,062	3,314	63	367	1	10	307	0
Municipio Monción	4,884	4,487	92	140	16	5	144	0
Municipio Mao	31,178	26,671	1,586	781	17	73	2,050	0
Municipio Esperanza	24,105	20,794	1,066	826	23	47	1,349	0
Municipio Laguna Salada 	10,318	8,277	676	332	3	1	1,029	0
Municipio Baní	53,021	47,435	1,204	1,532	100	64	2,686	0
Municipio Nizao	10,335	9,178	224	263	6	10	654	0
Municipio Matanzas	6,741	6,137	91	179	3	0	331	0
Municipio San Cristóbal 	88,583	82,422	801	1,760	93	84	3,423	0
Municipio Sabana Grande de Palenque 	5,680	5,202	80	136	5	4	253	0
Municipio Bajos de Haina	53,277	49,304	543	710	44	51	2,625	0
Municipio Cambita Garavitos	10,423	8,734	127	811	16	23	712	0
Municipio Villa Altagracia	32,108	28,958	407	1,052	26	31	1,634	0
Municipio Yaguate	16,375	14,072	97	1,108	16	30	1,052	0
Municipio San Gregorio de Nigua	12,565	11,079	207	450	13	23	793	0
Municipio Los Cacaos	3,992	2,578	29	1,176	7	4	198	0
Municipio San José de Ocoa	16,200	13,351	456	1,080	38	33	1,242	0
Municipio Sabana Larga	4,379	3,489	115	409	6	15	345	0
Municipio Rancho Arriba	5,451	4,013	100	821	6	16	495	0
Municipio de Neiba	12,152	9,168	722	1,533	4	28	696	1
Municipio Galván	5,359	3,852	281	691	10	15	510	0
Municipio Tamayo	9,962	7,366	1,015	754	18	12	797	0
Municipio Villa Jaragua	3,693	2,884	275	408	2	5	119	0
Municipio Los Ríos	2,709	1,931	243	379	7	3	146	0
Municipio Barahona	27,560	24,148	1,670	229	74	51	1,388	0
Municipio Cabral	4,871	4,025	421	148	7	13	257	0
Municipio Enriquillo	4,468	3,208	266	753	4	12	225	0
Municipio Paraíso 	5,114	3,562	173	1,118	3	4	254	0
Municipio Vicente Noble 	8,230	6,346	988	277	61	22	536	0
Municipio El Peñón	1,370	1,108	106	8	0	4	144	0
Municipio La Ciénaga	2,741	2,143	147	214	9	3	225	0
Municipio Fundación	2,924	2,159	226	322	6	2	209	0
Municipio Las Salinas	1,552	1,248	113	60	9	0	122	0
Municipio Polo	2,468	1,423	153	630	17	0	245	0
Municipio Jaquimeyes	1,313	1,177	52	12	3	9	60	0
Municipio Jimaní	5,852	4,117	947	352	14	5	417	0
Municipio Duvergé	4,445	3,624	257	334	0	1	229	0
Municipio La Descubierta 	2,376	1,861	165	255	0	0	95	0
Municipio Postrer Río	2,173	1,392	154	494	6	6	121	0
Municipio Cristóbal	2,412	1,275	435	510	0	5	187	0
Municipio Mella	1,485	1,121	119	111	6	0	128	0
Municipio Pedernales	7,342	5,222	558	1,006	17	5	534	0
Municipio Oviedo	3,148	2,231	244	461	11	8	193	0
Municipio Azua	32,360	27,735	1,707	932	35	54	1,897	0
Municipio Las Charcas	4,913	3,993	266	258	2	5	389	0
Municipio Las Yayas de Viajama	6,705	5,203	366	429	10	57	640	0
Municipio Padre Las Casas	7,022	5,516	280	681	3	10	532	0
Municipio Peralta	4,386	3,113	240	508	8	9	508	0
Municipio Sabana Yegua	6,616	5,451	545	242	16	4	358	0
Municipio Pueblo Viejo 	3,844	3,162	120	220	6	7	329	0
Municipio Tábara Arriba	6,710	5,265	428	368	6	17	626	0
Municipio Guayabal	1,949	1,504	60	216	4	5	160	0
Municipio Estebanía	2,790	2,166	178	285	0	11	150	0
Municipio Comendador	8,275	5,624	619	1,586	9	23	412	2
Municipio Bánica	2,316	1,535	112	539	0	1	129	0
Municipio El Llano	2,629	1,475	242	610	0	57	245	0
Municipio Hondo Valle	2,926	1,922	211	533	1	3	256	0
Municipio Pedro Santana	1,960	1,004	103	750	2	0	101	0
Municipio Juan Santiago	1,102	731	68	227	0	2	74	0
Municipio San Juan	48,501	39,684	1,601	3,840	54	145	3,177	0
Municipio Bohechío	3,476	2,627	153	294	2	5	395	0
Municipio El Cercado	5,783	4,063	131	1,040	0	5	544	0
Municipio Juan de Herrera	4,381	3,629	116	346	0	7	283	0
Municipio Las Matas de Farfán	16,421	13,088	563	1,747	15	96	912	0
Municipio Vallejuelo	4,254	2,919	386	554	9	1	385	0
Municipio El Seibo	25,696	19,894	1,200	2,985	29	57	1,531	0
Municipio Miches	9,572	8,198	199	339	20	4	812	0
Municipio Higüey	160,056	143,817	3,282	2,577	472	249	9,659	0
Municipio San Rafael del Yuma	12,363	9,349	1,323	943	14	14	720	0
Municipio La Romana	53,573	49,933	758	162	96	47	2,577	0
Municipio Guaymate	5,432	4,137	739	301	7	12	236	0
Municipio Villa Hermosa	37,378	34,496	1,062	148	68	38	1,566	0
Municipio San Pedro de Macorís	75,448	70,012	1,394	327	119	98	3,498	0
Municipio Los Llanos 	9,124	7,197	312	813	21	5	776	0
Municipio Ramón Santana	3,997	3,005	83	506	12	3	388	0
